ticker
ABB
ADANIENSOL
ADANIGREEN
ADANIPOWER
AMBUJACEM
DMART
BAJAJHLDNG
BAJAJHFL
BANKBARODA
BPCL
BOSCHLTD
BRITANNIA
CGPOWER
CANBK
CHOLAFIN
DLF
DIVISLAB
GAIL
GODREJCP
HAVELLS
HAL
HINDZINC
HYUNDAI
ICICIGI
INDHOTEL
IOC
IRFC
NAUKRI
JSWENERGY
JINDALSTEL
LTM
LICI
LODHA
MAZDOCK
PIDILITIND
PFC
PNB
RECLTD
MOTHERSON
SHREECEM
ENRIN
SIEMENS
SOLARINDS
TVSMOTOR
TATAPOWER
TORNTPHARM
UNITDSPR
VBL
VEDL
ZYDUSLIFE
